symboling,normalized_losses,make,fuel_type,num_doors,body_style,wheel_drive,Engine_location,wheel_base,length,width,height,curb_weight,engine_type,engine-size,fuel_system,stroke,compression_ratio,horsepower,price
2,164.0,Executive,gas,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,109,mpfi,3.4,10.0,102,13950.0
2,164.0,Executive,gas,four,sedan,fwd,front,99.4,176.6,66.4,54.3,2824,ohc,136,mpfi,3.4,8.0,115,17450.0
1,158.0,Executive,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,136,mpfi,3.4,8.5,110,17710.0
1,158.0,Executive,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,131,mpfi,3.4,8.3,140,23875.0
2,192.0,Executive,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,2.8,8.8,101,16430.0
0,192.0,Executive,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,2.8,8.8,101,16925.0
0,188.0,Executive,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,164,mpfi,3.19,9.0,121,20970.0
0,188.0,Executive,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,164,mpfi,3.19,9.0,121,21105.0
2,121.0,Executive,gas,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,Pushrod,61,2bbl,3.03,9.5,48,5151.0
1,98.0,Executive,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,90,2bbl,3.11,9.6,70,6295.0
0,81.0,Executive,gas,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,90,2bbl,3.11,9.6,70,6575.0
1,118.0,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,3.23,9.41,68,5572.0
1,118.0,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,3.23,9.4,68,6377.0
1,118.0,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,98,mpfi,3.39,7.6,102,7957.0
1,148.0,dodge,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,3.23,9.4,68,6229.0
1,148.0,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,3.23,9.4,68,6692.0
1,148.0,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,3.23,9.4,68,7609.0
-1,110.0,dodge,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,122,2bbl,3.46,8.5,88,8921.0
3,145.0,dodge,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,156,mfi,3.9,7.0,145,12964.0
2,137.0,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,92,1bbl,3.41,9.6,58,6479.0
2,137.0,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,92,1bbl,3.41,9.2,76,6855.0
1,101.0,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,79,1bbl,3.07,10.1,60,5399.0
1,101.0,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,92,1bbl,3.41,9.2,76,6529.0
1,101.0,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,92,1bbl,3.41,9.2,76,7129.0
